Question,Answer,Category,keywords,lastupdated
What is the student application loan status?,"A notice about the Student Application Loan was posted on August 16, 2024.",Students,"student, application, loan, status, notice, about, was, posted, august, 2024",2026-06-16
What was the workshop on Mastering Tetfund/National Research Fund Application about?,"It was a workshop to help researchers master the application processes for these funds, announced on July 26, 2024.",Research,"was, workshop, mastering, tetfund, national, research, fund, application, about, help",2026-06-16
When did the Yabatech Governing Council assume duty?,"The Yabatech Governing Council assumed duty on Monday, July 22, 2024.",Administration,"did, yabatech, governing, council, assume, duty, assumed, monday, july, 2024",2026-06-16
"What grant was secured for girls' education on May 20, 2024?",Yabatech secured a 1.5 Billion Naira grant for Girls Education and Skills Partnership.,Grants,"grant, was, secured, girls, education, may, 2024, yabatech, billion, naira",2026-06-16
What was the Rector's message on Workers' Day?,"The Rector's Workers' Day goodwill message was posted on April 30, 2024.",Staff,"was, rector, message, workers, day, goodwill, posted, april, 2024, staff",2026-06-16
Who donated 150 acres of land to Yabatech for a green campus?,"Fanimokun gave 150 acres of land to Yabatech for a green campus, reported on April 16, 2024.",Donations,"donated, 150, acres, land, yabatech, green, campus, fanimokun, gave, reported",2026-06-16
Who donated the N3.5bn Centre for Entrepreneurship?,Tunde Fanimokun donated the N3.5bn Centre for Entrepreneurship in honour of Wahab Folawiyo to Yabatech.,Donations,"donated, 5bn, centre, entrepreneurship, tunde, fanimokun, honour, wahab, folawiyo, yabatech",2026-06-16
What is the partnership with the DSS about?,"Yabatech and DSS closed ranks on security, as reported on March 21, 2024.",Partnerships,"partnership, dss, about, yabatech, closed, ranks, security, reported, march, 2024",2026-06-16
What was the Rector's challenge to the new Alumni Excos?,"The Rector challenged the Alumni new Excos, as reported on March 21, 2024.",Alumni,"was, rector, challenge, new, alumni, excos, challenged, reported, march, 2024",2026-06-16
What did the Olumegbon family donate to Yabatech?,The Olumegbon family donated three industrial machines to Yabatech Fashion & Design graduating students.,Donations,"did, olumegbon, family, donate, yabatech, donated, three, industrial, machines, fashion",2026-06-16
How many Yabatech stakeholders planned the five years 'Renewed Hope' documents?,Over 100 Yabatech stakeholders planned the five years strategic documents for the college.,General,"many, yabatech, stakeholders, planned, five, years, renewed, hope, documents, over",2026-06-16
What was the result of the free eye screening in December 2023?,Yabatech and others conducted 4000 free eye screenings and 400 cataract surgeries for Lagosians.,Events,"was, result, free, eye, screening, december, 2023, yabatech, others, conducted",2026-06-16
How many trainees graduated from the Skills Acquisition Centre in December 2023?,38 skills acquisition trainees graduated in December 2023.,Students,"many, trainees, graduated, skills, acquisition, centre, december, 2023, students",2026-06-16
What is the status of the Yabatech Post UTME result?,"The release of the Yabatech Post UTME result was announced on November 9, 2023.",Admissions,"status, yabatech, post, utme, result, release, was, announced, november, 2023",2026-06-16
What was the SIWES orientation program in October 2023 about?,"An invitation was extended to attend the 2022/2023 SIWES Orientation Programme on October 19, 2023.",Students,"was, siwes, orientation, program, october, 2023, about, invitation, extended, attend",2026-06-16
What is the college's plan for the Epe campus?,"Yabatech plans to replicate Computer Village in the Epe Campus, reported October 17, 2023.",General,"college, plan, epe, campus, yabatech, plans, replicate, computer, village, reported",2026-06-16
What award did Yabatech receive from Govtech?,Yabatech bagged the Trailblazer award as the Most Innovative Federal Polytechnic in Nigeria.,Awards,"award, did, yabatech, receive, govtech, bagged, trailblazer, most, innovative, federal",2026-06-16
What did the Rector say about the National Skills Qualification Framework?,The Rector urged people to embrace the National Skill Qualification Framework.,Academics,"did, rector, say, about, national, skills, qualification, framework, urged, people",2026-06-16
How many students were matriculated in September 2023?,"Yabatech matriculated 14,278 students, as reported on September 11, 2023.",Events,"many, students, were, matriculated, september, 2023, yabatech, 278, reported, events",2026-06-16
What did the Rector say about staff welfare?,"The Rector stated 'Staff Welfare, My Priority', as reported on September 11, 2023.",Staff,"did, rector, say, about, staff, welfare, stated, priority, reported, september",2026-06-16
What was the Post UTME screening for the 2023/2024 admission exercise?,"The Post UTME screening for the 2023/2024 admission exercise was announced on September 4, 2023.",Admissions,"was, post, utme, screening, 2023, 2024, admission, exercise, announced, september",2026-06-16
What new centres did Yabatech establish in August 2023?,"Yabatech established new centres, as reported on August 16, 2023.",Units,"new, centres, did, yabatech, establish, august, 2023, established, reported, units",2026-06-16
How many times has Yabatech been ranked Nigeria's best polytechnic as of August 2023?,Yabatech was ranked Nigeria Best Polytechnic for the 6th time.,Awards,"many, times, has, yabatech, been, ranked, nigeria, best, polytechnic, august",2026-06-16
What was the presentation by the new Rector about?,"The new Rector, Dr. Abdul, presented his 5-point progressive agenda for Yabatech.",Administration,"was, presentation, new, rector, about, abdul, presented, his, point, progressive",2026-06-16
What did Lotus Bank donate to Yabatech?,Lotus Bank donated a brand new 18-seater bus and cash gifts to the best graduating students.,Donations,"did, lotus, bank, donate, yabatech, donated, brand, new, seater, bus",2026-06-16
"Who was appointed as the Rector of Yabatech on May 23, 2023?",The FG appointed Dr. Abdul as the Rector of Yabatech.,Administration,"was, appointed, rector, yabatech, may, 2023, abdul, administration",2026-06-16
What is the partnership with MTN about?,"MTN partnered with Yabatech to support youth empowerment, as reported on April 12, 2023.",Partnerships,"partnership, mtn, about, partnered, yabatech, support, youth, empowerment, reported, april",2026-06-16
"Who was appointed as the Acting Rector on April 12, 2023?",Yabatech appointed Inyang-Udoh as Acting Rector.,Administration,"was, appointed, acting, rector, april, 2023, yabatech, inyang, udoh, administration",2026-06-16
How much was the TETFUND research grant won by Yabatech in April 2023?,Yabatech won a N27 Million TETFUND research grant.,Grants,"much, was, tetfund, research, grant, won, yabatech, april, 2023, n27",2026-06-16
What is the status of the hostel accommodation for part-time students?,"An announcement was made about hostel accommodation for part-time students on March 15, 2023.",Students,"status, hostel, accommodation, part, time, students, announcement, was, made, about",2026-06-16
When was the 2022/2023 full-time merit & supplementary admission list released?,"The 2022/2023 full-time merit & supplementary admission list was announced as out on January 29, 2023.",Admissions,"was, 2022, 2023, full, time, merit, supplementary, admission, list, released",2026-06-16
What were the ND and BSC cutoff marks for 2022/2023?,"The ND and BSC cutoff marks for 2022/2023 were released on December 23, 2022.",Admissions,"were, bsc, cutoff, marks, 2022, 2023, released, december, admissions",2026-06-16
How many students graduated at the 34th Convocation Ceremony?,"7,554 students graduated at the 34th Convocation Ceremony.",Events,"many, students, graduated, 34th, convocation, ceremony, 554, events",2026-06-16
What is the Yabatech N50bn Endowment Fund for?,The N50bn Endowment Fund was launched to improve facilities and invest in the future of the college.,General,"yabatech, n50bn, endowment, fund, was, launched, improve, facilities, invest, future",2026-06-16
"What was the vacancy advertised on July 28, 2022?",A vacancy for the post of Rector was advertised.,Careers,"was, vacancy, advertised, july, 2022, post, rector, careers",2026-06-16
"What is the status of the Open, Distance, Flexible and e-Learning program?","Yabatech commenced its Open, Distance, Flexible and e-Learning program, as announced on March 9, 2022.",Academics,"status, open, distance, flexible, learning, program, yabatech, commenced, its, announced",2026-06-16
